player,position,age,team_id,g,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
Garrison Mathews,SG,23,WAS,18,12.6,1.3,0.6,0.4,0.1,5.4
Wesley Matthews,SG,33,MIL,67,24.4,2.5,1.4,0.6,0.1,7.4
Luc Mbah a Moute,PF,33,HOU,3,8.3,0.7,0.0,0.7,0.0,1.7
Patrick McCaw,SF,24,TOR,37,24.5,2.3,2.1,1.1,0.1,4.6
CJ McCollum,SG,28,POR,70,36.5,4.2,4.4,0.8,0.6,22.2
T.J. McConnell,PG,27,IND,71,18.7,2.7,5.0,0.8,0.2,6.5
Jalen McDaniels,SF,22,CHO,16,18.3,4.1,0.8,0.5,0.2,5.6
Doug McDermott,PF,28,IND,69,19.9,2.5,1.1,0.2,0.1,10.3
JaVale McGee,C,32,LAL,68,16.6,5.7,0.5,0.5,1.4,6.6
Rodney McGruder,SG,28,LAC,56,15.6,2.7,0.6,0.5,0.1,3.3
Alfonzo McKinnie,SF,27,CLE,40,14.8,2.8,0.4,0.6,0.2,4.6
Jordan McLaughlin,PG,23,MIN,30,19.7,1.6,4.2,1.1,0.1,7.6
Ben McLemore,SF,26,HOU,71,22.8,2.2,0.8,0.6,0.2,10.1
Jordan McRae,SG,28,TOT,37,21.2,3.4,2.5,0.6,0.4,11.5
Nicolò Melli,C,29,NOP,60,17.4,3.0,1.4,0.6,0.4,6.6
De'Anthony Melton,PG,21,MEM,60,19.5,3.7,2.9,1.3,0.3,7.6
Chimezie Metu,C,22,SAS,18,5.8,1.8,0.6,0.2,0.3,3.2
Khris Middleton,SF,28,MIL,62,29.9,6.2,4.3,0.9,0.1,20.9
Eric Mika,C,25,SAC,1,19.0,7.0,0.0,0.0,0.0,6.0
C.J. Miles,SF,32,WAS,10,16.1,1.2,1.2,1.0,0.4,6.4
Malcolm Miller,SF,26,TOR,28,5.8,0.6,0.4,0.2,0.1,1.3
Patty Mills,PG,31,SAS,66,22.5,1.6,1.8,0.8,0.1,11.6
Paul Millsap,PF,34,DEN,51,24.3,5.7,1.6,0.9,0.6,11.6
Shake Milton,SG,23,PHI,40,20.1,2.2,2.6,0.5,0.2,9.4
Donovan Mitchell,SG,23,UTA,69,34.3,4.4,4.3,1.0,0.2,24.0
Naz Mitrou-Long,SG,26,IND,5,9.4,1.4,1.6,0.2,0.2,2.8
Adam Mokoka,SF,21,CHI,11,10.2,0.9,0.4,0.4,0.0,2.9
Malik Monk,SG,21,CHO,55,21.3,2.9,2.1,0.5,0.3,10.3
Matt Mooney,SG,22,CLE,4,4.8,0.8,0.3,0.5,0.3,0.5
E'Twaun Moore,SG,30,NOP,56,18.2,2.3,1.4,0.6,0.2,8.3
Ja Morant,PG,20,MEM,67,31.0,3.9,7.3,0.9,0.3,17.8
Juwan Morgan,PF,22,UTA,21,6.4,1.4,0.3,0.0,0.1,1.7
Marcus Morris,SF-PF,30,TOT,62,31.2,5.0,1.4,0.8,0.5,16.7
Markieff Morris,PF,30,TOT,58,20.5,3.8,1.3,0.5,0.3,9.7
Monte Morris,PG,24,DEN,73,22.4,1.9,3.5,0.8,0.2,9.0
Johnathan Motley,PF,24,LAC,13,3.2,0.8,0.6,0.2,0.0,2.2
Emmanuel Mudiay,PG,23,UTA,54,15.7,2.3,2.1,0.4,0.2,7.3
Mychal Mulder,SF,25,GSW,7,29.1,3.3,1.1,0.3,0.1,11.0
Dejounte Murray,PG,23,SAS,66,25.6,5.8,4.1,1.7,0.3,10.9
Jamal Murray,PG,22,DEN,59,32.3,4.0,4.8,1.1,0.3,18.5
Džanan Musa,SF,20,BRK,40,12.2,2.2,1.1,0.4,0.0,4.8
Mike Muscala,C,28,OKC,47,12.2,2.3,0.9,0.2,0.3,4.8
Sviatoslav Mykhailiuk,SF,22,DET,56,22.6,1.9,1.9,0.7,0.1,9.0
Abdel Nader,SF,26,OKC,55,15.8,1.8,0.7,0.4,0.4,6.3
Larry Nance Jr.,PF,27,CLE,56,26.3,7.3,2.2,1.0,0.4,10.1
Shabazz Napier,PG,28,TOT,56,24.0,2.8,4.7,1.2,0.2,10.3
Raul Neto,PG,27,PHI,54,12.4,1.1,1.8,0.4,0.1,5.1
Malik Newman,SG,22,CLE,1,4.0,0.0,0.0,0.0,0.0,2.0
Georges Niang,PF,26,UTA,66,14.0,1.9,0.7,0.3,0.1,5.9
Joakim Noah,C,34,LAC,5,10.0,3.2,1.4,0.2,0.2,2.8
Nerlens Noel,C,25,OKC,61,18.5,4.9,0.9,1.0,1.5,7.4
Zach Norvell,SG,22,TOT,5,8.2,1.2,0.6,0.4,0.0,2.0
Jaylen Nowell,SG,20,MIN,15,10.1,0.9,1.3,0.2,0.1,3.8
Frank Ntilikina,PG,21,NYK,57,20.8,2.1,3.0,0.9,0.3,6.3
Kendrick Nunn,PG,24,MIA,67,29.3,2.7,3.3,0.8,0.2,15.3
Jusuf Nurkić,C,25,POR,8,31.6,10.3,4.0,1.4,2.0,17.6
David Nwaba,SF,27,BRK,20,13.4,2.3,0.4,0.6,0.6,5.2
Royce O'Neale,SF,26,UTA,71,28.9,5.5,2.5,0.8,0.5,6.3
Kyle O'Quinn,C,29,PHI,29,10.8,4.0,1.8,0.2,0.8,3.5
Semi Ojeleye,PF,25,BOS,69,14.7,2.1,0.5,0.3,0.1,3.4
Jahlil Okafor,C,24,NOP,30,15.6,4.2,1.2,0.2,0.7,8.1
Elie Okobo,PG,22,PHO,55,13.1,1.6,2.1,0.4,0.1,4.0
Josh Okogie,SG,21,MIN,62,25.0,4.3,1.6,1.1,0.4,8.6
KZ Okpala,PF,20,MIA,5,5.2,1.0,0.2,0.4,0.2,1.4
Victor Oladipo,SG,27,IND,19,27.8,3.9,2.9,0.9,0.2,14.5
Kelly Olynyk,C,28,MIA,67,19.4,4.6,1.7,0.7,0.3,8.2
Miye Oni,SF,22,UTA,10,10.9,1.7,0.4,0.4,0.2,3.5
Cedi Osman,SF,24,CLE,65,29.4,3.6,2.4,0.8,0.2,11.0
Kelly Oubre Jr.,SF,24,PHO,56,34.5,6.4,1.5,1.3,0.7,18.7
Tariq Owens,PF,24,PHO,3,5.0,1.0,0.0,0.3,0.0,1.3
Jeremy Pargo,PG,33,GSW,3,14.7,1.0,2.7,0.3,0.0,8.3
Jabari Parker,PF,24,TOT,38,24.1,5.6,1.8,1.2,0.4,14.0
Chandler Parsons,PF,31,ATL,5,10.8,1.4,0.6,0.8,0.2,2.8
Eric Paschall,PF,23,GSW,60,27.6,4.6,2.1,0.5,0.2,14.0
Anžejs Pasečņiks,C,24,WAS,27,16.2,4.0,0.7,0.3,0.4,5.8
Patrick Patterson,PF,30,LAC,59,13.2,2.6,0.7,0.1,0.1,4.9
Justin Patton,C,22,OKC,5,4.8,1.0,0.4,0.0,0.0,1.8
Chris Paul,PG,34,OKC,70,31.5,5.0,6.7,1.6,0.2,17.6
Cameron Payne,SG,25,PHO,8,22.9,3.9,3.0,1.0,0.3,10.9
Elfrid Payton,PG,25,NYK,45,27.7,4.7,7.2,1.6,0.4,10.0
Gary Payton II,SF,27,WAS,29,14.9,2.8,1.7,1.1,0.2,3.9
Norvel Pelle,C,26,PHI,24,9.7,3.0,0.3,0.1,1.3,2.4
Theo Pinson,SG,24,BRK,33,11.1,1.6,1.7,0.5,0.1,3.6
Mason Plumlee,C,29,DEN,61,17.3,5.2,2.5,0.5,0.6,7.2
Jakob Poeltl,C,24,SAS,66,17.7,5.7,1.8,0.6,1.4,5.6
Vincent Poirier,C,26,BOS,22,5.9,2.0,0.4,0.1,0.4,1.9
Shamorie Ponds,PG,21,TOR,4,2.8,0.3,0.5,0.0,0.3,2.3
Jordan Poole,SG,20,GSW,57,22.4,2.1,2.4,0.6,0.2,8.8
Kevin Porter Jr.,SF,19,CLE,50,23.2,3.2,2.2,0.9,0.3,10.0
Michael Porter Jr.,SF,21,DEN,55,16.4,4.7,0.8,0.5,0.5,9.3
Otto Porter,SF,26,CHI,14,23.6,3.4,1.8,1.1,0.4,11.9
Bobby Portis,PF,24,NYK,66,21.1,5.1,1.5,0.5,0.3,10.1
Kristaps Porziņģis,C,24,DAL,57,31.8,9.5,1.8,0.7,2.0,20.4
Dwight Powell,C,28,DAL,40,26.5,5.7,1.5,0.9,0.6,9.4
Norman Powell,SG,26,TOR,52,28.4,3.7,1.8,1.2,0.4,16.0
Taurean Prince,PF,25,BRK,64,29.0,6.0,1.8,0.9,0.4,12.1
Chasson Randle,PG,26,GSW,3,13.3,0.7,1.7,0.7,0.0,1.7
Julius Randle,PF,25,NYK,64,32.5,9.7,3.1,0.8,0.3,19.5
Josh Reaves,SF,22,DAL,4,7.0,0.8,0.8,0.0,0.0,2.0
Cam Reddish,SF,20,ATL,58,26.7,3.7,1.5,1.1,0.5,10.5
J.J. Redick,SG,35,NOP,60,26.4,2.5,2.0,0.3,0.2,15.3
Naz Reid,C,20,MIN,30,16.5,4.1,1.2,0.6,0.7,9.0
Josh Richardson,SG,26,PHI,55,30.8,3.2,2.9,0.9,0.7,13.7
Austin Rivers,SG,27,HOU,68,23.4,2.6,1.7,0.7,0.1,8.8
Andre Roberson,SF,28,OKC,7,12.4,3.9,0.6,0.1,0.4,2.9
Duncan Robinson,SG,25,MIA,73,29.7,3.2,1.4,0.5,0.3,13.5
Glenn Robinson III,SF,26,TOT,62,28.8,4.4,1.5,0.9,0.3,11.7
Jerome Robinson,SG,22,TOT,63,15.5,2.0,1.4,0.4,0.3,5.1
Justin Robinson,PG,22,WAS,9,5.4,0.6,0.8,0.0,0.1,1.4
Mitchell Robinson,C,21,NYK,61,23.1,7.0,0.6,0.9,2.0,9.7
Isaiah Roby,PF,21,OKC,3,3.7,0.7,0.0,0.0,0.0,0.0
Rajon Rondo,PG,33,LAL,48,20.5,3.0,5.0,0.8,0.0,7.1
Derrick Rose,PG,31,DET,50,26.0,2.4,5.6,0.8,0.3,18.1
Terrence Ross,SG,28,ORL,69,27.4,3.2,1.2,1.1,0.3,14.7
Terry Rozier,PG,25,CHO,63,34.3,4.4,4.1,1.0,0.2,18.0
Ricky Rubio,PG,29,PHO,65,31.0,4.7,8.8,1.4,0.2,13.0
D'Angelo Russell,PG,23,TOT,45,32.3,3.9,6.3,1.1,0.3,23.1
Domantas Sabonis,PF,23,IND,62,34.8,12.4,5.0,0.8,0.5,18.5
Luka Šamanić,PF,20,SAS,3,16.0,3.3,2.0,0.0,0.7,5.3
JaKarr Sampson,PF,26,IND,34,13.9,2.6,0.6,0.5,0.4,4.6
Dario Šarić,PF,25,PHO,66,24.7,6.2,1.9,0.6,0.2,10.7
Tomáš Satoranský,SG,28,CHI,65,28.9,3.9,5.4,1.2,0.1,9.9
Admiral Schofield,PF,22,WAS,33,11.2,1.4,0.5,0.2,0.1,3.0
Dennis Schröder,PG,26,OKC,65,30.8,3.6,4.0,0.7,0.2,18.9
Mike Scott,PF,31,PHI,68,17.8,3.6,0.8,0.3,0.1,6.0
Thabo Sefolosha,PF,35,HOU,41,10.6,2.3,0.6,0.6,0.3,2.2
Collin Sexton,PG,21,CLE,65,33.0,3.1,3.0,1.0,0.1,20.8
Landry Shamet,SG,22,LAC,53,27.4,1.9,1.9,0.4,0.2,9.3
Marial Shayok,SG,24,PHI,4,7.0,1.8,0.3,0.0,0.3,2.8
Iman Shumpert,SF,29,BRK,13,18.5,2.6,0.9,0.9,0.2,4.2
Pascal Siakam,PF,25,TOR,60,35.2,7.3,3.5,1.0,0.9,22.9
Chris Silva,PF,23,MIA,44,7.9,2.9,0.5,0.2,0.5,3.0
Ben Simmons,PG,23,PHI,57,35.4,7.8,8.0,2.1,0.6,16.4
Anfernee Simons,SG,20,POR,70,20.7,2.2,1.4,0.4,0.1,8.3
Alen Smailagić,C,19,GSW,14,9.9,1.9,0.9,0.2,0.3,4.2
Marcus Smart,SG,25,BOS,60,32.0,3.8,4.9,1.7,0.5,12.9
Dennis Smith Jr.,PG,22,NYK,34,15.8,2.3,2.9,0.8,0.2,5.5
Ish Smith,PG,31,WAS,68,26.3,3.2,4.9,0.9,0.4,10.9
J.R. Smith,SG,34,LAL,6,13.2,0.8,0.5,0.2,0.0,2.8
Zhaire Smith,SF,20,PHI,7,4.6,0.3,0.3,0.4,0.0,1.1
Tony Snell,SF,28,DET,59,27.8,1.9,2.2,0.5,0.3,8.0
Omari Spellman,C,22,GSW,49,18.1,4.5,1.0,0.7,0.5,7.6
Max Strus,SF,23,CHI,2,3.0,0.5,0.0,0.0,0.0,2.5
Edmond Sumner,SG,24,IND,31,14.4,1.5,1.8,0.5,0.3,4.9
Caleb Swanigan,PF-C,22,TOT,27,10.7,3.7,1.1,0.1,0.3,2.4
Jayson Tatum,PF,21,BOS,66,34.3,7.0,3.0,1.4,0.9,23.4
Jeff Teague,PG,31,TOT,59,24.8,2.4,5.2,0.7,0.3,10.9
Garrett Temple,SG,33,BRK,62,27.9,3.5,2.5,0.8,0.5,10.3
Daniel Theis,C,27,BOS,65,24.1,6.6,1.7,0.6,1.3,9.2
Isaiah Thomas,PG,30,WAS,40,23.1,1.7,3.7,0.3,0.2,12.2
Khyri Thomas,SG,23,DET,8,7.6,0.1,0.4,0.4,0.0,2.1
Lance Thomas,PF,31,BRK,7,14.0,1.9,0.9,0.0,0.0,3.4
Matt Thomas,SG,25,TOR,41,10.7,1.5,0.5,0.2,0.0,4.9
Tristan Thompson,PF,28,CLE,57,30.2,10.1,2.1,0.6,0.9,12.0
Sindarius Thornwell,SF,25,NOP,2,17.5,2.0,2.0,0.5,0.5,8.0
Matisse Thybulle,SG,22,PHI,65,19.8,1.6,1.2,1.4,0.7,4.7
Anthony Tolliver,PF,34,TOT,55,15.9,2.8,0.8,0.3,0.2,3.6
Juan Toscano-Anderson,SG,26,GSW,13,20.9,4.0,2.0,1.0,0.4,5.3
Karl-Anthony Towns,C,24,MIN,35,33.9,10.8,4.4,0.9,1.2,26.5
Gary Trent Jr.,SF,21,POR,61,21.8,1.6,1.0,0.8,0.3,8.9
Allonzo Trier,SG,24,NYK,24,12.1,1.2,1.2,0.1,0.2,6.5
P.J. Tucker,PF,34,HOU,72,34.3,6.6,1.6,1.1,0.5,6.9
Rayjon Tucker,SG,22,UTA,20,8.1,1.0,0.3,0.1,0.1,3.1
Evan Turner,SG,31,ATL,19,13.2,2.0,2.0,0.5,0.4,3.3
Myles Turner,C,23,IND,62,29.5,6.6,1.2,0.7,2.1,12.1
Jarrod Uthoff,PF,26,TOT,7,7.6,0.9,0.0,0.1,0.0,2.7
Jonas Valančiūnas,C,27,MEM,70,26.4,11.3,1.9,0.4,1.1,14.9
Denzel Valentine,SF,26,CHI,36,13.6,2.1,1.2,0.7,0.2,6.8
Jarred Vanderbilt,PF,20,TOT,11,4.2,0.8,0.2,0.3,0.1,1.1
Fred VanVleet,SG,25,TOR,54,35.7,3.8,6.6,1.9,0.3,17.6
Gabe Vincent,PG,23,MIA,9,9.2,0.6,0.7,0.6,0.0,2.4
Noah Vonleh,C,24,TOT,36,10.5,3.4,0.8,0.3,0.2,3.7
Nikola Vučević,C,29,ORL,62,32.2,10.9,3.6,0.9,0.8,19.6
Dean Wade,PF,23,CLE,12,5.9,1.6,0.2,0.2,0.3,1.7
Moritz Wagner,C,22,WAS,45,18.6,4.9,1.2,0.6,0.4,8.7
Dion Waiters,SG,28,TOT,10,20.7,2.4,2.0,0.4,0.6,11.1
Kemba Walker,PG,29,BOS,56,31.1,3.9,4.8,0.9,0.5,20.4
Lonnie Walker,SG,21,SAS,61,16.2,2.3,1.1,0.5,0.2,6.4
Tyrone Wallace,SG,25,ATL,14,11.4,1.6,0.9,0.5,0.1,2.9
Derrick Walton,PG,24,TOT,26,9.5,0.6,1.0,0.3,0.0,2.0
Brad Wanamaker,PG,30,BOS,71,19.3,2.0,2.5,0.9,0.2,6.9
T.J. Warren,SF,26,IND,67,32.9,4.2,1.5,1.2,0.5,19.8
P.J. Washington,PF,21,CHO,58,30.3,5.4,2.1,0.9,0.8,12.2
Yuta Watanabe,SF,25,MEM,18,5.8,1.1,0.3,0.3,0.1,2.0
Tremont Waters,PG,22,BOS,11,10.8,1.1,1.5,0.9,0.2,3.6
Paul Watson,SF,25,TOT,10,8.7,1.7,0.8,0.4,0.1,3.1
Quinndary Weatherspoon,SG,23,SAS,11,7.1,0.6,1.0,0.3,0.1,1.1
Russell Westbrook,PG,31,HOU,57,35.9,7.9,7.0,1.6,0.4,27.2
Coby White,PG,19,CHI,65,25.8,3.5,2.7,0.8,0.1,13.2
Derrick White,SG,25,SAS,68,24.7,3.3,3.5,0.6,0.9,11.3
Hassan Whiteside,C,30,POR,67,30.0,13.5,1.2,0.4,2.9,15.5
Andrew Wiggins,SF,24,TOT,54,34.4,5.1,3.7,0.8,1.0,21.8
Grant Williams,PF,21,BOS,69,15.1,2.6,1.0,0.4,0.5,3.4
Johnathan Williams,PF,24,WAS,15,12.0,4.3,0.5,0.1,0.5,3.0
Kenrich Williams,PF,25,NOP,39,21.3,4.8,1.5,0.7,0.5,3.5
Lou Williams,PG,33,LAC,65,28.7,3.1,5.6,0.7,0.2,18.2
Marvin Williams,PF,33,TOT,58,19.5,3.2,1.0,0.6,0.5,5.9
Robert Williams,C,22,BOS,29,13.4,4.4,0.9,0.8,1.2,5.2
Nigel Williams-Goss,PG,25,UTA,10,5.0,0.6,0.6,0.3,0.1,1.4
Zion Williamson,PF,19,NOP,24,27.8,6.3,2.1,0.7,0.4,22.5
D.J. Wilson,PF,23,MIL,37,9.8,2.5,0.7,0.1,0.1,3.6
Justise Winslow,SG,23,MIA,11,32.0,6.6,4.0,0.6,0.5,11.3
Christian Wood,PF,24,DET,62,21.4,6.3,1.0,0.5,0.9,13.1
Delon Wright,PG,27,DAL,73,21.5,3.8,3.3,1.2,0.3,6.9
Justin Wright-Foreman,PG,22,UTA,4,11.3,1.3,1.8,0.5,0.0,4.8
Thaddeus Young,PF,31,CHI,64,24.9,4.9,1.8,1.4,0.4,10.3
Trae Young,PG,21,ATL,60,35.3,4.3,9.3,1.1,0.1,29.6
Cody Zeller,C,27,CHO,58,23.1,7.1,1.5,0.7,0.4,11.1
Tyler Zeller,C,30,SAS,2,2.0,2.0,0.0,0.0,0.0,1.0
Ante Žižić,C,23,CLE,22,10.0,3.0,0.3,0.3,0.2,4.4
Ivica Zubac,C,22,LAC,72,18.4,7.5,1.1,0.2,0.9,8.3
